iter	Passed	Remaining
0	5	2764
1	9	2428
2	13	2224
3	18	2266
4	22	2246
5	26	2178
6	31	2193
7	35	2156
8	39	2158
9	42	2087
10	48	2140
11	51	2113
12	56	2133
13	61	2146
14	65	2124
15	69	2104
16	73	2098
17	76	2060
18	80	2038
19	84	2027
20	86	1964
21	89	1944
22	92	1922
23	96	1909
24	100	1906
25	103	1894
26	106	1872
27	109	1850
28	113	1844
29	116	1828
30	120	1816
31	125	1828
32	129	1830
33	133	1828
34	137	1826
35	141	1822
36	145	1821
37	149	1821
38	153	1813
39	157	1811
40	160	1799
41	165	1809
42	169	1804
43	173	1801
44	178	1809
45	183	1807
46	187	1803
47	191	1806
48	195	1802
49	199	1795
50	203	1795
51	207	1788
52	212	1791
53	214	1772
54	219	1776
55	223	1772
56	227	1767
57	231	1760
58	235	1758
59	239	1753
60	242	1747
61	247	1748
62	251	1744
63	255	1743
64	260	1744
65	264	1742
66	269	1739
67	273	1740
68	276	1727
69	280	1724
70	285	1722
71	288	1717
72	292	1712
73	296	1706
74	300	1700
75	304	1700
76	308	1696
77	313	1694
78	318	1695
79	322	1690
80	326	1688
81	330	1683
82	334	1679
83	338	1676
84	342	1670
85	345	1661
86	349	1659
87	353	1657
88	356	1644
89	358	1635
90	362	1631
91	366	1625
92	371	1623
93	375	1621
94	380	1620
95	384	1619
96	389	1616
97	392	1611
98	395	1602
99	399	1597
100	404	1596
101	408	1592
102	412	1588
103	416	1584
104	417	1571
105	421	1566
106	425	1561
107	429	1558
108	433	1553
109	437	1549
110	440	1544
111	444	1541
112	448	1537
113	454	1537
114	458	1533
115	462	1531
116	466	1528
117	471	1526
118	475	1523
119	480	1522
120	484	1517
121	489	1516
122	494	1514
123	497	1508
124	501	1503
125	503	1494
126	507	1490
127	510	1484
128	514	1481
129	519	1479
130	524	1477
131	529	1474
132	534	1474
133	537	1467
134	541	1465
135	547	1464
136	551	1460
137	555	1458
138	560	1455
139	561	1444
140	566	1442
141	571	1439
142	575	1436
143	579	1431
144	583	1427
145	586	1422
146	590	1419
147	594	1414
148	598	1410
149	603	1407
150	607	1404
151	609	1395
152	613	1391
153	616	1384
154	617	1374
155	622	1371
156	626	1369
157	628	1360
158	631	1355
159	636	1351
160	640	1349
161	644	1345
162	649	1342
163	653	1339
164	658	1336
165	661	1331
166	665	1327
167	669	1323
168	674	1322
169	679	1319
170	684	1316
171	689	1314
